title_id,subscribers,rating,views,likes
2075,173638,9.61,6514742,681782
2045,440671,9.75,15721401,1486083
2044,146312,9.47,3293103,209039
2034,449878,9.94,32951432,4354277
2033,168183,9.76,8599658,1018580
2032,119027,8.72,7191189,581174
2030,407544,9.54,24259267,1807437
2029,107807,9.5,5890580,785200
2028,165258,8.22,8552194,690445
2023,271457,9.76,25317016,2022590
2020,226561,9.13,10547367,635371
2019,337691,9.31,15160533,804405
1992,920519,9.85,83493564,6914605
1991,1185093,9.86,68740398,5877985
1990,208608,9.45,13061388,988608
1989,634384,9.8,44919664,4477696
1982,84718,9.81,6330575,588773
1976,487886,9.93,36320096,4136371
1975,459931,9.72,18544846,1762807
1967,174146,9.4,20104672,2030655
1966,358778,9.84,38342718,4490360
1965,311290,9.79,31523464,3134151
1964,889955,9.8,108759233,7399577
1943,320764,9.66,10721866,907240
1942,263696,9.68,15377855,1221680
1941,1763871,9.79,152597650,9666408
1940,333012,9.79,22865947,2458766
1939,458546,9.65,26797479,1977197
1938,715907,9.89,57222052,5852782
1899,307350,9.52,12574296,755432
1898,725687,9.69,30122974,2208846
1897,383854,9.63,18762989,1529768
1896,361482,9.83,38568260,2502060
1877,922622,9.87,85927742,8743112
1875,794072,9.73,57403398,5095543
1871,206153,9.86,8850052,1151636
1870,150591,9.28,14630950,631297
1857,477334,9.67,24000195,2331102
1856,578418,9.79,52934962,4260210
1855,401936,9.91,32356234,2681535
1848,1277501,9.88,132201885,11561449
1835,171166,9.79,9764379,673313
1783,460369,9.88,36708861,3097501
1782,273592,9.75,21536959,2150600
1781,493456,9.68,40193505,4110367
1780,1903144,9.28,203443146,11322825
1779,230836,9.89,21993276,2781726
1778,113650,9.82,18457714,2759549
1760,500209,9.6,28578640,2036029
1754,132692,9.92,5519840,902491
1753,244460,9.69,24950308,1490568
1752,458701,9.71,38074621,3234687
1751,350036,9.79,33271949,2452516
1745,261423,9.92,6796034,863637
1743,233912,9.78,23078046,1633069
1742,590973,9.86,54491938,4327150
1715,1329796,9.82,179241852,18454186
1714,594109,9.37,44409652,3178178
1705,525412,9.77,36551653,3650599
1702,587071,9.82,55491296,4661716
1700,328339,8.62,14483626,1070725
1698,621340,9.81,45806405,4427913
1693,756702,9.83,70741748,6058426
1692,625359,9.79,35438542,2714335
1686,298144,9.56,13591766,1111720
1685,479139,9.85,33550460,3331744
1684,393826,9.75,22578535,2270395
1676,123511,9.72,3779580,388199
1675,356682,9.85,14750942,1423469
1673,981360,9.79,74501971,6025500
1667,704068,9.55,35566762,1881198
1666,467262,9.82,34298176,3030957
1647,1305836,9.58,123083993,7694054
1646,288388,8.74,18563455,655196
1645,360588,9.25,12709940,770232
1644,456591,9.8,51203895,3586777
1641,584067,9.42,33999567,2672183
1632,567942,9.45,40731116,3128965
1628,194639,8.36,12877245,621462
1615,225880,9.83,12918492,1237209
1608,103814,9.72,5972430,519672
1597,1464921,9.79,115369097,7958265
1593,722328,9.84,58869670,4520023
1592,1340324,9.78,113795230,7942444
1591,343980,9.88,28740637,2313980
1590,100862,9.75,6629478,695281
1589,604991,9.26,57347920,2618762
1588,1634474,9.88,191195478,14757265
1587,752315,8.69,60643833,4080797
1586,162803,9.52,8585618,759905
1585,898489,9.89,153391222,9608413
1584,668586,9.71,31850512,2282986
1583,928990,9.86,97646374,8314988
1582,344135,9.63,15390136,1208800
1579,793950,9.8,81719420,7627016
1570,403674,9.78,36782655,3975863
1561,652375,9.34,31545242,2069630
1560,922206,9.85,72927462,6442427
1556,154689,9.82,5560313,399297
1548,244863,9.84,13436391,1234512
1546,688795,9.6,62007732,4852028
1545,422530,9.6,32159433,1498421
1541,738456,9.84,73947915,5791538
1531,1147565,9.81,114595678,7922479
1530,102234,9.65,4885001,368877
1518,758849,9.86,63891597,5973457
1517,860175,9.8,64651438,4855893
1509,915151,9.86,22481509,2022873
1506,129689,9.79,5723167,516048
1500,470043,9.7,33293121,2408321
1493,522463,9.86,39409581,3530269
1485,2461238,9.05,270700071,11765486
1478,440364,9.8,50830657,3136812
1477,479688,9.78,34128914,2350249
1476,358577,9.44,61645008,5742092
1473,376611,9.71,25411768,1451967
1466,2017223,9.74,311956574,14249374
1465,212395,9.93,5348626,515892
1464,895807,9.79,93951180,5172599
1462,425030,9.82,25776438,2165590
1444,181895,9.33,14726934,1028435
1443,493072,9.87,45479212,4042609
1442,486504,9.72,58298716,3434708
1439,395789,9.44,21174341,1323305
1430,1015948,9.7,252663241,18181712
1423,485483,9.87,23827944,2392333
1422,827922,9.83,77274483,6713147
1406,477344,9.9,45770600,5355825
1405,1215551,9.79,112954220,6431358
1401,1382032,9.6,143803031,7242510
1392,5980670,9.65,879170167,39864495
1386,623063,9.6,26080907,1780181
1385,364579,9.84,17210510,874580
1384,330987,9.81,22024730,1540936
1383,218920,9.66,12912113,1240215
1376,296617,9.56,32619341,2142433
1375,506064,9.7,60069471,2685678
1374,433599,9.78,103640917,5783331
1357,720415,9.81,59471599,4608828
1351,417737,9.89,37146078,4139021
1350,232231,9.83,17275581,1492919
